Map from character to field name
A:	Austria
B:	Belgium
C:	Central African Republic
D:	France
E:	Germany
F:	Hungary
G:	Israel
H:	Italy
I:	Netherlands
J:	Senegal
K:	Serbia
L:	South Africa
M:	Spain
N:	Uganda
O:	?


Substitution rate (mu): 57.256189

Equilibrium frequencies (pi_i):
  A: 0.0816
  B: 0.0609
  C: 0.0752
  D: 0.0681
  E: 0.053
  F: 0.0838
  G: 0.0771
  H: 0.0601
  I: 0.0516
  J: 0.0843
  K: 0.079
  L: 0.0752
  M: 0.0726
  N: 0.0775

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N
  A	0	0.9045	0.9073	0.905	0.9049	1.6388	0.9065	1.7467	0.8986	0.9155	1.0624	0.9078	0.908	0.9054
  B	0.9045	0	0.9126	0.9051	1.723	0.9047	0.9076	0.9059	3.8271	0.9245	0.9047	0.9076	0.9081	0.9053
  C	0.9073	0.9126	0	0.9071	0.9196	0.9071	0.9565	0.9362	0.9833	1.269	0.9069	0.9246	0.924	0.9152
  D	0.905	0.9051	0.9071	0	2.6238	0.9052	0.9061	0.9054	0.9017	0.9161	0.9052	0.9094	1.1457	0.9053
  E	0.9049	1.723	0.9196	2.6238	0	0.9011	0.9079	2.2793	7.3743	0.96	0.8999	0.9063	1.2319	0.9005
  F	1.6388	0.9047	0.9071	0.9052	0.9011	0	0.9061	1.0837	0.8983	0.912	1.1881	0.9079	0.9081	0.9056
  G	0.9065	0.9076	0.9565	0.9061	0.9079	0.9061	0	0.9509	0.9283	1.8344	0.9059	0.9247	0.9244	1.1684
  H	1.7467	0.9059	0.9362	0.9054	2.2793	1.0837	0.9509	0	0.916	1.3335	1.0001	0.9153	0.9157	0.9128
  I	0.8986	3.8271	0.9833	0.9017	7.3743	0.8983	0.9283	0.916	0	1.1628	0.8986	0.9079	0.9102	0.9031
  J	0.9155	0.9245	1.269	0.9161	0.96	0.912	1.8344	1.3335	1.1628	0	0.9108	1.6244	1.2537	1.1222
  K	1.0624	0.9047	0.9069	0.9052	0.8999	1.1881	0.9059	1.0001	0.8986	0.9108	0	0.9077	0.9079	0.9055
  L	0.9078	0.9076	0.9246	0.9094	0.9063	0.9079	0.9247	0.9153	0.9079	1.6244	0.9077	0	1.0305	0.9105
  M	0.908	0.9081	0.924	1.1457	1.2319	0.9081	0.9244	0.9157	0.9102	1.2537	0.9079	1.0305	0	0.9106
  N	0.9054	0.9053	0.9152	0.9053	0.9005	0.9056	1.1684	0.9128	0.9031	1.1222	0.9055	0.9105	0.9106	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N
  A	0	0.0738	0.0741	0.0739	0.0739	0.1338	0.074	0.1426	0.0733	0.0747	0.0867	0.0741	0.0741	0.0739
  B	0.0551	0	0.0556	0.0551	0.105	0.0551	0.0553	0.0552	0.2332	0.0563	0.0551	0.0553	0.0553	0.0552
  C	0.0682	0.0686	0	0.0682	0.0691	0.0682	0.0719	0.0704	0.0739	0.0954	0.0682	0.0695	0.0695	0.0688
  D	0.0616	0.0616	0.0617	0	0.1786	0.0616	0.0617	0.0616	0.0614	0.0623	0.0616	0.0619	0.078	0.0616
  E	0.0479	0.0913	0.0487	0.139	0	0.0477	0.0481	0.1208	0.3907	0.0509	0.0477	0.048	0.0653	0.0477
  F	0.1374	0.0759	0.0761	0.0759	0.0756	0	0.076	0.0909	0.0753	0.0765	0.0996	0.0761	0.0761	0.0759
  G	0.0698	0.0699	0.0737	0.0698	0.07	0.0698	0	0.0733	0.0715	0.1413	0.0698	0.0712	0.0712	0.09
  H	0.1049	0.0544	0.0562	0.0544	0.1369	0.0651	0.0571	0	0.055	0.0801	0.0601	0.055	0.055	0.0548
  I	0.0464	0.1977	0.0508	0.0466	0.3809	0.0464	0.0479	0.0473	0	0.0601	0.0464	0.0469	0.047	0.0466
  J	0.0771	0.0779	0.1069	0.0772	0.0809	0.0768	0.1546	0.1124	0.098	0	0.0767	0.1369	0.1056	0.0946
  K	0.0839	0.0715	0.0716	0.0715	0.0711	0.0939	0.0716	0.079	0.071	0.072	0	0.0717	0.0717	0.0715
  L	0.0683	0.0683	0.0695	0.0684	0.0682	0.0683	0.0695	0.0688	0.0683	0.1222	0.0683	0	0.0775	0.0685
  M	0.0659	0.066	0.0671	0.0832	0.0895	0.066	0.0671	0.0665	0.0661	0.0911	0.0659	0.0748	0	0.0661
  N	0.0702	0.0702	0.071	0.0702	0.0698	0.0702	0.0906	0.0708	0.07	0.087	0.0702	0.0706	0.0706	0
